,STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
65,       4336;19510307;-999;-999;-999;    5;   0.0;   0;-999;   0;   1.3;   4.8;    -999;    3.7;   63.00;    8.7;   -2.9;   -2.8;eor
66,       4336;19510308;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   6.4;    -999;    2.6;   87.00;    4.5;    0.7;    0.2;eor
67,       4336;19510309;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   5.6;    -999;   -0.2;   93.00;    3.0;   -1.5;    0.2;eor
68,       4336;19510310;-999;-999;-999;    5;   0.0;   0;-999;   0;   7.7;   6.5;    -999;    3.7;   82.00;    6.7;   -1.3;   -0.5;eor
69,       4336;19510311;-999;-999;-999;    5;   4.3;   1;-999;   0;   7.7;   6.9;    -999;    3.3;   91.00;    5.5;   -1.2;   -0.8;eor
70,       4336;19510312;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.0;   6.7;    -999;    6.4;   71.00;    9.5;    3.6;    3.8;eor
71,       4336;19510313;-999;-999;-999;    5;   8.6;   1;-999;   0;   7.3;   7.7;    -999;    7.9;   70.00;   12.2;    4.1;    2.6;eor
72,       4336;19510314;-999;-999;-999;    5;   3.4;   1;-999;   0;   6.3;   7.1;    -999;    6.9;   73.00;   10.0;    3.4;    3.4;eor
73,       4336;19510315;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.3;   7.6;    -999;    6.9;   77.00;   11.0;    2.1;    2.4;eor
74,       4336;19510316;-999;-999;-999;    5;  14.2;   1;-999;   0;   6.3;   9.1;    -999;    8.8;   81.00;   12.6;    1.6;   -0.3;eor
75,       4336;19510317;-999;-999;-999;    5;   7.3;   1;-999;   0;   6.7;  13.1;    -999;   13.0;   87.00;   15.6;    9.1;    9.0;eor
